,intent,snip
1832,Concatenating two one-dimensional NumPy arrays,"numpy.concatenate([a, b])"
1833,Writing a list to a file with Python,for item in thelist:\n    thefile.write(('%s\n' % item))
1834,Writing a list to a file with Python,for item in thelist:\n    pass
1835,Writing a list to a file with Python,"pickle.dump(itemlist, outfile)"
1836,Writing a list to a file with Python,outfile.write('\n'.join(itemlist))
1837,SQLAlchemy: a better way for update with declarative?,session.query(User).filter_by(id=123).update({'name': 'Bob Marley'})
1838,How to send cookies in a post request with the Python Requests library?,"r = requests.post('http://wikipedia.org', cookies=cookie)"
1839,How to include third party Python libraries in Google App Engine?,"sys.path.insert(0, 'libs')"
1840,get current time,datetime.datetime.now()
1841,get current time,datetime.datetime.now().time()
1842,get current time,"strftime('%Y-%m-%d %H:%M:%S', gmtime())"
1843,get current time,str(datetime.now())
1844,get current time,datetime.datetime.time(datetime.datetime.now())
1845,Converting hex to int in python,ord('\xff')
1846,Python Pandas Identify Duplicated rows with Additional Column,"df.groupby(['PplNum', 'RoomNum']).cumcount() + 1"
1847,How to get UTC time in Python?,datetime.utcnow()
1848,Python: Make last item of array become the first,a[-1:] + a[:-1]
1849,pandas: how to run a pivot with a multi-index?,"df.set_index(['year', 'month', 'item']).unstack(level=-1)"
1850,pandas: how to run a pivot with a multi-index?,"df.pivot_table(values='value', index=['year', 'month'], columns='item')"
1851,How to print/show an expression in rational number form in python,print('\n\x1b[4m' + '3' + '\x1b[0m' + '\n2')
1852,What is the best way to sort list with custom sorting parameters in Python?,li1.sort(key=lambda x: not x.startswith('b.'))
1853,How to loop backwards in python?,"range(10, 0, -1)"
1854,Get Element value with minidom with Python,name[0].firstChild.nodeValue
1855,Simple threading in Python 2.6 using thread.start_new_thread(),"thread.start_new_thread(myfunction, ('MyStringHere', 1))"
1856,Simple threading in Python 2.6 using thread.start_new_thread(),"thread.start_new_thread(myfunction, ('MyStringHere', 1))"
1857,How to find all positions of the maximum value in a list?,a.index(max(a))
1858,Regex add character to matched string,"re.sub('\\.(?=[^ .])', '. ', para)"
1859,how to turn a string of letters embedded in squared brackets into embedded lists,"[i.split() for i in re.findall('\\[([^\\[\\]]+)\\]', a)]"
1860,extract item from list of dictionaries,[d for d in a if d['name'] == 'pluto']
1861,extract item from list of dictionaries,[d for d in a if d['name'] == 'pluto']
1862,Python: simplest way to get list of values from dict?,list(d.values())
1863,String manipulation in Cython,"re.sub(' +', ' ', s)"
1864,Set execute bit for a file using python,"os.chmod('my_script.sh', 484)"
1865,Pandas to_csv call is prepending a comma,"df.to_csv('c:\\data\\t.csv', index=False)"
1866,Python regex to remove all words which contains number,"re.sub('\\w*\\d\\w*', '', words).strip()"
1867,How can I control the keyboard and mouse with Python?,"dogtail.rawinput.click(100, 100)"
1868,How to parse dates with -0400 timezone string in python?,"datetime.strptime('2009/05/13 19:19:30 -0400', '%Y/%m/%d %H:%M:%S %z')"
1869,Python - Locating the position of a regex match in a string?,"re.search('\\bis\\b', String).start()"
1870,Python - Locating the position of a regex match in a string?,"re.search('is', String).start()"
1871,How to input an integer tuple from user?,"tuple(map(int, input().split(',')))"
1872,How to input an integer tuple from user?,"tuple(int(x.strip()) for x in input().split(','))"
1873,How to replace unicode characters in string with something else python?,"str.decode('utf-8').replace('\u2022', '*').encode('utf-8')"
1874,How to replace unicode characters in string with something else python?,"str.decode('utf-8').replace('\u2022', '*')"
1875,How to convert ndarray to array?,"np.zeros((3, 3)).ravel()"
1876,What OS am I running on,import platform\nplatform.system()
1877,What OS am I running on,import platform\nplatform.release()
1878,What OS am I running on,print(os.name)
1879,What is the most pythonic way to exclude elements of a list that start with a specific character?,[x for x in my_list if not x.startswith('#')]
1880,"Python string formatting when string contains ""%s"" without escaping","""""""Day old bread, 50% sale {0}"""""".format('today')"
1881,List of Tuples (string,"min(list, key=lambda x: float('inf') if math.isnan(x[1]) else x[1])"
1882,Python: Finding average of a nested list,a = [(sum(x) / len(x)) for x in zip(*a)]
1883,How do I add custom field to Python log format string?,"logging.info('Log message', extra={'app_name': 'myapp'})"
1884,finding non-numeric rows in dataframe in pandas?,"df.applymap(lambda x: isinstance(x, (int, float)))"
1885,Sort list of mixed strings based on digits,"sorted(l, key=lambda x: int(re.search('\\d+', x).group(0)))"
1886,Function to close the window in Tkinter,self.root.destroy()
1887,Calcuate mean for selected rows for selected columns in pandas data frame,"df.iloc[:, ([2, 5, 6, 7, 8])].mean(axis=1)"
1888,How to filter by sub-level index in Pandas,df[df.index.map(lambda x: x[1].endswith('0630'))]
1889,Deleting row with Flask-SQLAlchemy,db.session.delete(page)
1890,How do I convert a unicode to a string at the Python level?,""""""""""""".join(chr(ord(c)) for c in 'Andr\xc3\xa9')"
1891,How do I convert a unicode to a string at the Python level?,""""""""""""".join(chr(ord(c)) for c in 'Andr\xc3\xa9').decode('utf8')"
1892,Directory listing,"for (dirname, dirnames, filenames) in os.walk('.'):\n    for subdirname in dirnames:\n        print(os.path.join(dirname, subdirname))\n    for filename in filenames:\n        pass"
1893,Directory listing,os.listdir(path)
1894,How to rename all folders?,"os.rename(dir, dir + '!')"
1895,Pythonic way to insert every 2 elements in a string,"""""""-"""""".join(a + b for a, b in zip(s[::2], s[1::2]))"
1896,Printing numbers in python,print('%.3f' % 3.1415)
1897,Add element to a json in python,data[0]['f'] = var
1898,Retrieving python module path,print(a_module.__file__)
1899,Retrieving python module path,print(os.getcwd())
1900,Retrieving python module path,path = os.path.abspath(amodule.__file__)
1901,Padding a list in python with particular value,self.myList.extend([0] * (4 - len(self.myList)))
1902,Fastest Way to Drop Duplicated Index in a Pandas DataFrame,df[~df.index.duplicated()]
1903,Is there a more pythonic way of exploding a list over a function's arguments?,foo(*i)
1904,Generate list of numbers in specific format,[('%.2d' % i) for i in range(16)]
1905,Summarizing a dictionary of arrays in Python,"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]"
1906,Summarizing a dictionary of arrays in Python,"heapq.nlargest(3, iter(mydict.items()), key=lambda tup: sum(tup[1]))"
1907,get index of character in python list,"['a', 'b'].index('b')"
1908,How to set font size of Matplotlib axis Legend?,"plt.setp(legend.get_title(), fontsize='xx-small')"
1909,Python: Convert a string to an integer,int('  23  ')
1910,How to extract the n-th elements from a list of tuples in python?,[x[1] for x in elements]
1911,getting the opposite diagonal of a numpy array,np.diag(np.rot90(array))
1912,Convert list of tuples to list?,list(chain.from_iterable(a))
1913,Removing white space from txt with python,"re.sub('\\s{2,}', '|', line.strip())"
1914,Limiting floats to two decimal points,print(('%.2f' % a))
1915,Limiting floats to two decimal points,print(('{0:.2f}'.format(a)))
1916,Limiting floats to two decimal points,"print(('{0:.2f}'.format(round(a, 2))))"
1917,Limiting floats to two decimal points,"print(('%.2f' % round(a, 2)))"
1918,Limiting floats to two decimal points,('%.2f' % 13.9499999)
1919,Limiting floats to two decimal points,('%.2f' % 3.14159)
1920,Limiting floats to two decimal points,float('{0:.2f}'.format(13.95))
1921,Limiting floats to two decimal points,'{0:.2f}'.format(13.95)
1922,How to I load a tsv file into a Pandas DataFrame?,"DataFrame.from_csv('c:/~/trainSetRel3.txt', sep='\t')"
1923,How to set UTC offset for datetime?,dateutil.parser.parse('2013/09/11 00:17 +0900')
1924,Passing list of parameters to SQL in psycopg2,"cur.mogrify('SELECT * FROM table WHERE column IN %s;', ((1, 2, 3),))"
1925,How would I sum a multi-dimensional array in the most succinct python?,"sum([sum(x) for x in [[1, 2, 3, 4], [2, 4, 5, 6]]])"
1926,Access an arbitrary element in a dictionary in Python,next(iter(dict.values()))
1927,Access an arbitrary element in a dictionary in Python,next(iter(list(dict.values())))
1928,Pandas: aggregate based on filter on another column,"df.groupby(['Month', 'Fruit']).sum().unstack(level=0)"
1929,sorting list of tuples by arbitrary key,"sorted(mylist, key=lambda x: order.index(x[1]))"
1930,Python - Sort a list of dics by value of dict`s dict value,"sorted(persons, key=lambda x: x['passport']['birth_info']['date'])"
1931,How can I remove the fragment identifier from a URL?,urlparse.urldefrag('http://www.address.com/something#something')
1932,How to download to a specific directory with Python?,"urllib.request.urlretrieve('http://example.com/file.ext', '/path/to/dir/filename.ext')"
1933,removing duplicates of a list of sets,list(set(frozenset(item) for item in L))
1934,removing duplicates of a list of sets,[set(item) for item in set(frozenset(item) for item in L)]
1935,How to terminate process from Python using pid?,p.terminate()
1936,Delete all objects in a list,del mylist[:]
1937,How to throw an error window in Python in Windows,"ctypes.windll.user32.MessageBoxW(0, 'Error', 'Error', 0)"
1938,Remove empty strings from a list of strings,str_list = list([_f for _f in str_list if _f])
1939,How to remove whitespace in BeautifulSoup,"re.sub('[\\ \\n]{2,}', '', yourstring)"
1940,Dot notation string manipulation,"re.sub('\\.[^.]+$', '', s)"
1941,Removing elements from an array that are in another array,"A[np.all(np.any(A - B[:, (None)], axis=2), axis=0)]"
1942,write to csv from DataFrame python pandas,"a.to_csv('test.csv', cols=['sum'])"
1943,call a Python script from another Python script,"exec(compile(open('test2.py').read(), 'test2.py', 'exec'))"
1944,call a Python script from another Python script,"subprocess.call('test1.py', shell=True)"
1945,How do I sort a zipped list in Python?,"sorted(zipped, key=lambda x: x[1])"
1946,How do I sort a zipped list in Python?,zipped.sort(key=lambda t: t[1])
1947,Sorting a dictionary by value then by key,"sorted(list(y.items()), key=lambda x: (x[1], x[0]), reverse=True)"
1948,Using BeautifulSoup to select div blocks within HTML,"soup.find_all('div', class_='crBlock ')"
1949,Remove list of indices from a list in Python,"[element for i, element in enumerate(centroids) if i not in index]"
1950,Comparing two lists in Python,list(set(listA) & set(listB))
1951,http file downloading and saving,"testfile = urllib.request.URLopener()\ntestfile.retrieve('http://randomsite.com/file.gz', 'file.gz')"
1952,http file downloading and saving,"urllib.request.urlretrieve('http://randomsite.com/file.gz', 'file.gz')"
1953,http file downloading and saving,file_name = wget.download(file_url)
1954,Accented characters in Matplotlib,"ax.set_yticklabels(['\xe9', '\xe3', '\xe2'])"
1955,How to get a list of all integer points in an n-dimensional cube using python?,"list(itertools.product(list(range(-x, y)), repeat=dim))"
1956,How can I convert a unicode string into string literals in Python 2.7?,print(s.encode('unicode_escape'))
1957,python - How to format variable number of arguments into a string?,"'Hello %s' % ', '.join(my_args)"
1958,Python regex search AND split,"re.split('(ddd)', 'aaa bbb ccc ddd eee fff', 1)"
1959,Python regex search AND split,"re.split('(d(d)d)', 'aaa bbb ccc ddd eee fff', 1)"
1960,Convert list of dictionaries to Dataframe,pd.DataFrame(d)
1961,How to split string into words that do not contain whitespaces in python?,"""""""This is a string"""""".split()"
1962,How to split string into words that do not contain whitespaces in python?,"""""""This     is a     string"""""".split()"
1963,python pandas: apply a function with arguments to a series,"my_series.apply(your_function, args=(2, 3, 4), extra_kw=1)"
1964,Python: How to remove all duplicate items from a list,woduplicates = list(set(lseperatedOrblist))
1965,Sum of product of combinations in a list,"sum([(i * j) for i, j in list(itertools.combinations(l, 2))])"
1966,Using variables in Python regular expression,re.compile('{}-\\d*'.format(user))
1967,In Python,[float(i) for i in lst]
1968,How can I multiply all items in a list together with Python?,"from functools import reduce\nreduce(lambda x, y: x * y, [1, 2, 3, 4, 5, 6])"
1969,How to write a tuple of tuples to a CSV file using Python,writer.writerow(A)
1970,How to write a tuple of tuples to a CSV file using Python,writer.writerows(A)
1971,python,"""""""{} %s {}"""""".format('foo', 'bar')"
1972,Replace a string in list of lists,"example = [x.replace('\r\n', '') for x in example]"
1973,Python: split elements of a list,[i.partition('\t')[-1] for i in l if '\t' in i]
1974,Splitting a string by using two substrings in Python,"re.search('Test(.*)print', testStr, re.DOTALL)"
1975,python,next = driver.find_element_by_css_selector('li.next>a')
1976,Getting file size in Python?,os.stat('C:\\Python27\\Lib\\genericpath.py').st_size
1977,how do i return a string from a regex match in python,"imtag = re.match('<img.*?>', line).group(0)"
1978,How to change folder names in python?,"os.rename('Joe Blow', 'Blow, Joe')"
1979,How to find overlapping matches with a regexp?,"re.findall('(?=(\\w\\w))', 'hello')"
1980,express binary literals,bin(173)
1981,express binary literals,"int('01010101111', 2)"
1982,express binary literals,"int('010101', 2)"
1983,express binary literals,"int('0b0010101010', 2)"
1984,express binary literals,bin(21)
1985,express binary literals,"int('11111111', 2)"
1986,Delete digits in Python (Regex),"re.sub('$\\d+\\W+|\\b\\d+\\b|\\W+\\d+$', '', s)"
1987,Delete digits in Python (Regex),"re.sub('\\b\\d+\\b', '', s)"
1988,Delete digits in Python (Regex),"s = re.sub('^\\d+\\s|\\s\\d+\\s|\\s\\d+$', ' ', s)"
1989,Python Split String,"s.split(':', 1)[1]"
1990,How can I split this comma-delimited string in Python?,"print(s.split(','))"
1991,How can I split this comma-delimited string in Python?,"mystring.split(',')"
1992,How to remove parentheses only around single words in a string,"re.sub('\\((\\w+)\\)', '\\1', s)"
1993,how to open a url in python,webbrowser.open_new(url)
1994,how to open a url in python,webbrowser.open('http://example.com')
1995,PyQt QPushButton Background color,self.pushButton.setStyleSheet('background-color: red')
1996,Zip and apply a list of functions over a list of values in Python,"[x(y) for x, y in zip(functions, values)]"
1997,How do I modify the width of a TextCtrl in wxPython?,"wx.TextCtrl(self, -1, size=(300, -1))"
1998,Displaying a grayscale Image,"imshow(imageArray, cmap='Greys_r')"
1999,How can I replace all the NaN values with Zero's in a column of a pandas dataframe,df.fillna(0)
2000,how to export a table dataframe in pyspark to csv?,df.toPandas().to_csv('mycsv.csv')
2001,how to export a table dataframe in pyspark to csv?,df.write.csv('mycsv.csv')
2002,Sum the second value of each tuple in a list,sum(x[1] for x in structure)
2003,How to sum the nlargest() integers in groupby,df.groupby('STNAME')['COUNTY_POP'].agg(lambda x: x.nlargest(3).sum())
2004,what would be the python code to add time to a specific timestamp?,"datetime.strptime('21/11/06 16:30', '%d/%m/%y %H:%M')"
2005,How to properly determine current script directory in Python?,os.path.dirname(os.path.abspath(__file__))
2006,How can I do multiple substitutions using regex in python?,"re.sub('(.)', '\\1\\1', text.read(), 0, re.S)"
2007,Python convert tuple to string,""""""""""""".join(('a', 'b', 'c', 'd', 'g', 'x', 'r', 'e'))"
2008,How to get full path of current file's directory in Python?,os.path.dirname(os.path.abspath(__file__))
2009,variable number of digit in format string,"""""""{0:.{1}%}"""""".format(value, digits)"
2010,Get current URL in Python,self.request.url
2011,Print a variable selected by a random number,random_choice = random.choice(choices)
2012,Python: Sum string lengths,length = sum(len(s) for s in strings)
2013,Sort a list by multiple attributes?,"s = sorted(s, key=lambda x: (x[1], x[2]))"
2014,Sort a list by multiple attributes?,"s.sort(key=operator.itemgetter(1, 2))"
2015,How to disable query cache with mysql.connector,con.commit()
2016,Filtering a list of strings based on contents,[k for k in lst if 'ab' in k]
2017,How do I find the first letter of each word?,output = ''.join(item[0].upper() for item in input.split())
2018,Get name of primary field of Django model,CustomPK._meta.pk.name
2019,How to count the number of words in a sentence?,len(s.split())
2020,numpy matrix vector multiplication,"np.einsum('ji,i->j', a, b)"
2021,check what version of Python is running,sys.version
2022,check what version of Python is running,sys.version_info
2023,Format number using LaTeX notation in Python,print('\\num{{{0:.2g}}}'.format(1000000000.0))
2024,Python initializing a list of lists,x = [[] for i in range(3)]
2025,How to apply django/jinja2 template filters 'escape' and 'linebreaks' correctly?,{{my_variable | forceescape | linebreaks}}
2026,Split a list of tuples into sub-lists of the same tuple field,"zip(*[(1, 4), (2, 5), (3, 6)])"
2027,Split a list of tuples into sub-lists of the same tuple field,"[list(group) for key, group in itertools.groupby(data, operator.itemgetter(1))]"
2028,How can I turn a string into a list in Python?,list('hello')
2029,pandas dataframe create new columns and fill with calculated values from same df,df['A_perc'] = df['A'] / df['sum']
2030,Getting a list of all subdirectories in the current directory,os.walk(directory)
2031,Getting a list of all subdirectories in the current directory,[x[0] for x in os.walk(directory)]
2032,How to filter a dictionary in Python?,"{i: 'updated' for i, j in list(d.items()) if j != 'None'}"
2033,How to filter a dictionary in Python?,"dict((k, 'updated') for k, v in d.items() if v is None)"
2034,How to filter a dictionary in Python?,"dict((k, 'updated') for k, v in d.items() if v != 'None')"
2035,How to count number of rows in a group in pandas group by object?,df.groupby(key_columns).size()
2036,python sum the values of lists of list,result = [sum(b) for b in a]
2037,What's the best way to search for a Python dictionary value in a list of dictionaries?,any(d['site'] == 'Superuser' for d in data)
2038,2D array of objects in Python,nodes = [[Node() for j in range(cols)] for i in range(rows)]
2039,How to replace (or strip) an extension from a filename in Python?,print(os.path.splitext('/home/user/somefile.txt')[0] + '.jpg')
2040,How to get the resolution of a monitor in Pygame?,"pygame.display.set_mode((0, 0), pygame.FULLSCREEN)"
2041,How can I format a float using matplotlib's LaTeX formatter?,"ax.set_title('$%s \\times 10^{%s}$' % ('3.5', '+20'))"
2042,Print file age in seconds using Python,print(os.path.getmtime('/tmp'))
2043,(Django) how to get month name?,today.strftime('%B')
2044,(Django) how to get month name?,today.strftime('%B')
2045,join list of lists in python,[j for i in x for j in i]
2046,join list of lists in python,print(list(itertools.chain.from_iterable(a)))
2047,Convert Date String to Day of Week,"datetime.datetime.strptime('January 11, 2010', '%B %d, %Y').strftime('%A')"
2048,Convert Date String to Day of Week,"datetime.datetime.strptime('January 11, 2010', '%B %d, %Y').strftime('%a')"
2049,delete a list element by value,a.remove('b')
2050,delete a list element by value,a.remove(c)
2051,delete a list element by value,a.remove(6)
2052,delete a list element by value,a.remove(6)
2053,delete a list element by value,if (c in a):\n    a.remove(c)
2054,delete a list element by value,try:\n    a.remove(c)\nexcept ValueError:\n    pass
2055,Python re.findall print all patterns,"re.findall('(?=(a.*?a))', 'a 1 a 2 a 3 a 4 a')"
2056,Outer product of each column of a 2D array to form a 3D array - NumPy,"np.einsum('ij,kj->jik', X, X)"
2057,Getting the last element of a list,some_list[(-1)]
2058,Getting the last element of a list,some_list[(-2)]
2059,gets the nth-to-last element,some_list[(- n)]
2060,Getting the last element of a list,alist[(-1)]
2061,Getting the last element of a list,astr[(-1)]
2062,Create a list of integers with duplicate values in Python,"print([u for v in [[i, i] for i in range(5)] for u in v])"
2063,Create a list of integers with duplicate values in Python,"[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]"
2064,Create a list of integers with duplicate values in Python,[(i // 2) for i in range(10)]
2065,Fastest way to remove first and last lines from a Python string,s[s.find('\n') + 1:s.rfind('\n')]
2066,Is there a Python dict without values?,{(x ** 2) for x in range(100)}
2067,How to zip lists in a list,"zip(*[[1, 2], [3, 4], [5, 6]])"
2068,How to zip lists in a list,"zip(*[[1, 2], [3, 4], [5, 6]])"
2069,python http request with token,"requests.get('https://www.mysite.com/', auth=('username', 'pwd'))"
2070,get a new string from the 3rd character to the end of the string,x[2:]
2071,substring a string,x[:2]
2072,substring a string,x[:(-2)]
2073,substring a string,x[(-2):]
2074,substring a string,x[2:(-2)]
2075,reversing a string,some_string[::(-1)]
2076,selecting alternate characters,'H-e-l-l-o- -W-o-r-l-d'[::2]
2077,substring a string,s = s[beginning:(beginning + LENGTH)]
2078,Terminating a Python script,sys.exit()
2079,Terminating a Python script,quit()
2080,Terminating a Python script,sys.exit('some error message')
2081,Transform unicode string in python,"data['City'].encode('ascii', 'ignore')"
2082,get current CPU and RAM usage,psutil.cpu_percent()\npsutil.virtual_memory()
2083,get current CPU and RAM usage,pid = os.getpid()\npy = psutil.Process(pid)\nmemoryUse = (py.memory_info()[0] / (2.0 ** 30))
2084,get current CPU and RAM usage,print((psutil.cpu_percent()))\nprint((psutil.virtual_memory()))
2085,Pandas read_csv expects wrong number of columns,"pd.read_csv('D:/Temp/tt.csv', names=list('abcdef'))"
2086,First non-null value per row from a list of Pandas columns,df.stack().groupby(level=0).first()
2087,format strings and named arguments in Python,"""""""{0} {1}"""""".format(10, 20)"
2088,format strings and named arguments in Python,"""""""{1} {ham} {0} {foo} {1}"""""".format(10, 20, foo='bar', ham='spam')"
2089,How to convert strings numbers to integers in a list?,changed_list = [(int(f) if f.isdigit() else f) for f in original_list]
2090,Add items to a dictionary of lists,"dict(zip(keys, zip(*data)))"
2091,Python: Converting from ISO-8859-1/latin1 to UTF-8,apple.decode('iso-8859-1').encode('utf8')
2092,How do you remove the column name row from a pandas DataFrame?,"df.to_csv('filename.csv', header=False)"
2093,"how to get around ""Single '}' encountered in format string"" when using .format and formatting in printing","print('{0}:<15}}{1}:<15}}{2}:<8}}'.format('1', '2', '3'))"
2094,Python list of dicts,"max(ld, key=lambda d: d['size'])"
2095,Format() in Python Regex,"""""""{0}\\w{{2}}b{1}\\w{{2}}quarter"""""".format('b', 'a')"
2096,How to use 'User' as foreign key in Django 1.5,"user = models.ForeignKey('User', unique=True)"
2097,Regex match even number of letters,re.compile('^([^A]*)AA([^A]|AA)*$')
2098,Combining NumPy arrays,"b = np.concatenate((a, a), axis=0)"
2099,How to custom sort an alphanumeric list?,"sorted(l, key=lambda x: x.replace('0', 'Z'))"
2100,Plot logarithmic axes with matplotlib in python,ax.set_yscale('log')
2101,Access environment variables,os.environ['HOME']
2102,Access environment variables,os.environ['HOME']
2103,Access environment variables,print(os.environ)
2104,Access environment variables,os.environ
2105,Access environment variables,print(os.environ.get('KEY_THAT_MIGHT_EXIST'))
2106,Access environment variables,"print(os.getenv('KEY_THAT_MIGHT_EXIST', default_value))"
2107,Access environment variables,"print(os.environ.get('HOME', '/home/username/'))"
2108,How to split a string within a list to create key-value pairs in Python,print(dict([s.split('=') for s in my_list]))
2109,finding index of an item closest to the value in a list that's not entirely sorted,"min(enumerate(a), key=lambda x: abs(x[1] - 11.5))"
2110,How to use lxml to find an element by text?,"e = root.xpath('.//a[contains(text(),""TEXT A"")]')"
2111,How to use lxml to find an element by text?,"e = root.xpath('.//a[starts-with(text(),""TEXT A"")]')"
2112,How to use lxml to find an element by text?,"e = root.xpath('.//a[text()=""TEXT A""]')"
2113,Python: an efficient way to slice a list with a index list,c = [b[i] for i in index]
2114,Multiplication of 1d arrays in numpy,"np.dot(a[:, (None)], b[(None), :])"
2115,Multiplication of 1d arrays in numpy,"np.outer(a, b)"
2116,Execute a file with arguments in Python shell,"subprocess.call(['./abc.py', arg1, arg2])"
2117,Pandas: Fill missing values by mean in each group faster than transfrom,df[['value']].fillna(df.groupby('group').transform('mean'))
2118,Python regex alternative for join,"re.sub('(.)(?=.)', '\\1-', s)"
2119,Python regex alternative for join,"re.sub('(?<=.)(?=.)', '-', str)"
2120,Index of element in Numpy array,"i, j = np.where(a == value)"
2121,Finding the most frequent character in a string,print(collections.Counter(s).most_common(1)[0])
2122,How to match beginning of string or character in Python,"float(re.findall('(?:^|_)' + par + '(\\d+\\.\\d*)', dir)[0])"
2123,How to match beginning of string or character in Python,"re.findall('[^a]', 'abcd')"
2124,How to get a list of variables in specific Python module?,print([item for item in dir(adfix) if not item.startswith('__')])
2125,Get the first element of each tuple in a list in Python,[x[0] for x in rows]
2126,Get the first element of each tuple in a list in Python,res_list = [x[0] for x in rows]
2127,How to repeat Pandas data frame?,"pd.concat([x] * 5, ignore_index=True)"
2128,How to repeat Pandas data frame?,pd.concat([x] * 5)
2129,Sorting JSON in python by a specific value,"sorted_list_of_keyvalues = sorted(list(ips_data.items()), key=item[1]['data_two'])"
2130,JSON to pandas DataFrame,pd.read_json(elevations)
2131,Generate random numbers with a given (numerical) distribution,"numpy.random.choice(numpy.arange(1, 7), p=[0.1, 0.05, 0.05, 0.2, 0.4, 0.2])"
2132,Find maximum value of a column and return the corresponding row values using Pandas,df.loc[df['Value'].idxmax()]
2133,Finding recurring patterns in a string,"re.findall('^(.+?)((.+)\\3+)$', '42344343434')[0][:-1]"
2134,convert binary string to numpy array,"np.fromstring('\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@', dtype='<f4')"
2135,convert binary string to numpy array,"np.fromstring('\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@', dtype='>f4')"
2136,How to use variables in SQL statement in Python?,"cursor.execute('INSERT INTO table VALUES (?, ?, ?)', (var1, var2, var3))"
2137,How to use variables in SQL statement in Python?,"cursor.execute('INSERT INTO table VALUES (%s, %s, %s)', (var1, var2, var3))"
2138,How to use variables in SQL statement in Python?,"cursor.execute('INSERT INTO table VALUES (%s, %s, %s)', (var1, var2, var3))"
2139,pandas split string into columns,"df['stats'].str[1:-1].str.split(',', expand=True).astype(float)"
2140,pandas split string into columns,"df['stats'].str[1:-1].str.split(',').apply(pd.Series).astype(float)"
2141,pandas split string into columns,df['stats'].apply(pd.Series)
2142,wait for shell command to complete,p.wait()
2143,Unescaping escaped characters in a string using Python 3.2,s.encode('utf8')
2144,Parse a string with a date to a datetime object,"datetime.datetime.strptime('01-Jan-1995', '%d-%b-%Y')"
2145,copy a file,"copyfile(src, dst)"
2146,copy a file,"shutil.copy2('/dir/file.ext', '/new/dir/newname.ext')"
2147,copy a file,"shutil.copy2('/dir/file.ext', '/new/dir')"
2148,Joining a list that has Integer values with Python,"print(', '.join(str(x) for x in list_of_ints))"
2149,how to multiply multiple columns by a column in Pandas,"df[['A', 'B']].multiply(df['C'], axis='index')"
2150,convert string to hex in python,hex(ord('a'))
2151,How to sum the values of list to the power of their indices,"sum(j ** i for i, j in enumerate(l, 1))"
2152,Python/Django: How to remove extra white spaces & tabs from a string?,""""""" """""".join(s.split())"
2153,How to strip comma in Python string,"s = s.replace(',', '')"
2154,How to resample a dataframe with different functions applied to each column?,"frame.resample('1H').agg({'radiation': np.sum, 'tamb': np.mean})"
2155,How do I get rid of Python Tkinter root window?,root.destroy()
2156,Creating a Pandas dataframe from elements of a dictionary,"df = pd.DataFrame.from_dict({k: v for k, v in list(nvalues.items()) if k != 'y3'})"
2157,How to obtain values of request variables using Python and Flask,first_name = request.args.get('firstname')
2158,How to obtain values of request variables using Python and Flask,first_name = request.form.get('firstname')
2159,How to read only part of a list of strings in python,[s[:5] for s in buckets]
2160,how to sort by length of string followed by alphabetical order?,"the_list.sort(key=lambda item: (-len(item), item))"
2161,how to slice a dataframe having date field as index?,df = df.set_index(['TRX_DATE'])
2162,List comprehension with an accumulator,list(accumulate(list(range(10))))
2163,How to convert a date string to different format,"datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%m/%d/%y')"
2164,How to convert a date string to different format,"datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%-m/%d/%y')"
2165,How to remove multiple columns that end with same text in Pandas?,"df2 = df.ix[:, (~df.columns.str.endswith('prefix'))]"
2166,Python - How to extract the last x elements from a list,new_list = my_list[-10:]
2167,Python - How to extract the last x elements from a list,my_list[-10:]
2168,How to efficiently convert Matlab engine arrays to numpy ndarray?,np.array(x._data).reshape(x.size[::-1]).T
2169,In pandas Dataframe with multiindex how can I filter by order?,"df.groupby(level=0, as_index=False).nth(0)"
2170,How to convert list of numpy arrays into single numpy array?,"numpy.concatenate(LIST, axis=0)"
2171,How can I convert literal escape sequences in a string to the corresponding bytes?,"""""""\\xc3\\x85あ"""""".encode('utf-8').decode('unicode_escape')"
2172,How can I convert literal escape sequences in a string to the corresponding bytes?,"""""""\\xc3\\x85あ"""""".encode('utf-8')"
2173,How do I merge two lists into a single list?,"[j for i in zip(a, b) for j in i]"
2174,How do I merge two lists into a single list?,"[j for i in zip(a, b) for j in i]"
2175,Removing character in list of strings,"print([s.replace('8', '') for s in lst])"
2176,How to split a word into letters in Python,""""""","""""".join('Hello')"
2177,In Django,Content.objects.all().order_by('?')[:100]
2178,Indexing one array by another in numpy,"A[np.arange(A.shape[0])[:, (None)], B]"
2179,pandas pivot table of sales,"df.pivot_table(index='saleid', columns='upc', aggfunc='size', fill_value=0)"
2180,Confusing with the usage of regex in Python,"re.findall('([a-z]*)', 'f233op')"
2181,Confusing with the usage of regex in Python,"re.findall('([a-z])*', 'f233op')"
2182,Splitting a string based on a certain set of words,"re.split('_for_', 'happy_hats_for_cats')"
